ID,sex,age,marital,Q4,Q5,Q6,Q7,Q15,Q16,Q17,Q18,Q21,Q19,Q24,Q25,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q101_6,Q101_7,Q101_8,Q101_9,Q101_10,Q101_11,Q101_12,Q101_13,Q101_14,Q101_15,Q101_16,Q101_17,Q101_18,Q101_19,Q101_20,Q48,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,source01
1241,1,20,1,2,0,6,0,1,2,2,2, ,9,1,1,1,0,2,3,5,2,4,4,2,2,1,2,1,2,1,3,3,1,3,2,4,3,4,4,4,4,5,4,4,5,3,2,4,4,4,2,1
1209,1,22,2,2,0,6,0,2,2,2,2,2,1,2,2,0,0,4,4,2,1,2,1,3,4,5,3,2,5,3,3,5,3,3,2,3,4,4,5,4,4,4,4,4,4,2,1,2,2,2,2,1
1222,1,34,2,1,1,6,1,4, ,2,4,1,9,1,1,0,0,3,3,5,3,3,2,1,1,1,1,1,2,1,2,3,1,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,1
1079,2,24,2,1,1,6,1,2, ,2, ,2,9,1,1, , , , , , , , , , , , , , , , , , , , , ,2,2,3,5,4,5,5,5,5,1,1,1,1,2,1,1
1086,1,36,2,1,1,6,1,1,2,2,2,2,9,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,5,1,1,5,1,1,3,5,3,4,3,5,5,5,1,5,2,1,1,1,1,4,1,1
1120,1,39,2,1,1,6,1, ,2,2, ,2,9,1,1,1,1,2,2,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,5,5,5,4,4,4,1,1,1,1,3,1,1
1056,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1026,1,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1031,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1051,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1075,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1077,2,18,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1019,1,19,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1036,2,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1043,2,19,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1300,2,19,2,1,1,6,1,1, ,2,2, ,9,1,2,0,0,4,2,4,4,2,5,2,2,2,1,1,4,1,3,5,1,4,3,3, , , , , , , , , , , , , , , ,1
1054,2,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1057,2,20,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1073,1,20,2,2,0,6,0,1, ,1,2, ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1143,2,20,3,1,1,6,1,2,2,2,2,2,9,1,1,1,1,3,3,5,2,2,3,2,4,3,3,2,2,2,2,4,3,3,3,3, , , , , , , , , , , , , , , ,1
1039,1,21,2,2,0,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1053,1,21,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1082,1,21,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1023,1,22,2,1,1,6,1,2,2,2,2,2,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1166,2,23,2,2,0,6,0,1, ,2,2,2,9,1,1,1,0,2,4,2,1,2,4,2,1,1,1,1,1,1,2,4,1,2,2,4, , , , , , , , , , , , , , , ,1
1008,2,26,2,1,1,6,1,1,2,2, , ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1078,1,31,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1080,1,31,1,1,1,6,1,2,4,2, , ,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1074,1,32,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
1353,2,18,2,1,3,2,2,2, ,2, ,2,2,2,3,0,0,4,5,1,1,4,2,3,2,2,3,2,3,1,3,3,1,3,2,3,2,2,4,4,4,5,4,1,4,3,2,4,3,5,5,1
1161,2,19,2,1,2,3,2,1,2,2,2, ,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,4,2,4,2,4,3,3,4,4,4,5,4,5,5,4,5,1
1197,2,19,2,1,2,1,2,1,1,1,1,2,9,2,2,1,0,2,2,2,2,4,5,1,1,3,1,1,1,1,1,3,1,2,2,5,4,4,4,3,4,3,3,5,5,5,5,5,5,5,5,1
1235,2,20,2,1,2,1,1,1,1,1,1,2,9,1,1,1,0,2,1,2,3,3,4,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,4,2,4,4,2,2,5,4,5,5,5,5,1
